User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
226222147,Pete Buttigieg,PeteButtigieg,Mon Dec 13 16:49:04 +0000 2010,1191484,2570,895,9121,4650,,"Running for president of the United States. Afghanistan vet, musician, businessman, husband to Chasten, and South Bend's ""Mayor Pete."" (BOOT-edge-edge)","South Bend, Indiana",https://t.co/Uo3I216zgj,,,1
46637873,City of South Bend,CityofSouthBend,Fri Jun 12 12:10:35 +0000 2009,10600,241,25,2247,128,,"South Bend, the fourth-largest city in Indiana, is the economic, educational, and cultural hub of a multi-county region spanning the Michigan-Indiana border.","South Bend, Indiana",http://t.co/mfR5omoVIo,,,1
15012486,CBS News,CBSNews,Thu Jun 05 00:54:31 +0000 2008,6773861,454,288,217943,49972,,Your source for original reporting and trusted news.,"New York, NY",https://t.co/VGut7r2Vg5,,,1
42423910,South Bend Police,southbendpolice,Mon May 25 15:25:36 +0000 2009,13466,132,371,3751,266,,"The official Twitter page of the South Bend, Indiana Police Department. Follow us for news, events, and crime updates. 41.665314,-86.258426","South Bend, Indiana   U.S.A.",http://t.co/u4tb73F9g8,,,1
467736151,Ind. Econ. Dev. Corp,Indiana_EDC,Wed Jan 18 19:56:58 +0000 2012,7909,1368,6214,11156,215,,"#Indiana's lead economic development agency, helping businesses launch, grow & locate in #AStateThatWorks.",Indiana,https://t.co/DP9jKZduK0,,,0
22536055,American Airlines,AmericanAir,Mon Mar 02 21:23:05 +0000 2009,1563484,107043,5037,2114536,11736,,"Official Twitter for the world’s largest airline. We’re here 24/7 for #AATeam kudos or travel concerns. For a formal response, visit https://t.co/gHXQN4xgM2.",,https://t.co/gHXQN4ORDA,,,1
4919082864,Eric Holcomb,GovHolcomb,Wed Feb 17 03:35:39 +0000 2016,21278,851,3548,5532,311,,"Hoosier, Husband, Navy Veteran, Dog Dad, 51st Governor of the Great State of Indiana",,https://t.co/NB0wSL6dzj,,,1
16101182,SalenaZito,SalenaZito,Tue Sep 02 18:59:39 +0000 2008,63770,8780,62131,194126,1588,,Great Revolt co-author wi/ @bradOnMessage https://t.co/izFfrqjAwL @dcexaminer Reporter @nypost Columnist @cnn Contributor @sxmPOTUS  @wlunews Luter Visiting Prof,"Main Street, USA",https://t.co/M1Jxpd27e9,,,1
418509252,Tamara Cofman Wittes,tcwittes,Tue Nov 22 08:00:48 +0000 2011,28827,2219,16321,91657,902,,"Current project=Our SOBs: America's Ties With Autocratic Allies. Think @BrookingsFP. Podcast @ratlsecurity. Tweet Middle East, Democ, Women, ForPolicy. She/her.",DC,https://t.co/5lN4ozkji6,,,0
15483453,WSBT,WSBT,Fri Jul 18 17:12:59 +0000 2008,80417,8382,3024,150585,589,,"First. Fast. Accurate: Welcome to WSBT-TV. This is your home on Twitter for the latest news, weather and Notre Dame sports.","Mishawaka, IN",http://t.co/baBu2mnqt9,,,1
