User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
72198806,Kirsten Gillibrand,SenGillibrand,Mon Sep 07 03:53:24 +0000 2009,1430988,992,707,18597,10634,,"Mom to Theo, Henry and dog Maple. Wife to Jonathan. U.S. Senator from NY and candidate for president. Not “very polite.”",New York,https://t.co/qccoyKkdDN,,,1
872946176877887488,Off The Sidelines,getots,Thu Jun 08 22:39:21 +0000 2017,2788,236,892,1127,26,,Off The Sidelines is @SenGillibrand’s movement to encourage women. To speak out. To get involved. To run for office. Let’s go.,,https://t.co/dLLFxz5oXs,,,1
587536673,Giffords,GiffordsCourage,Tue May 22 16:10:22 +0000 2012,66043,1927,4340,15099,684,,"Founded by @GabbyGiffords and @ShuttleCDRKelly, Giffords is on a mission to save lives from gun violence.","Washington, DC",https://t.co/NB3NWyKEQV,,,1
1905230346,Connie Britton,conniebritton,Wed Sep 25 20:03:25 +0000 2013,252620,227,3818,1697,1043,,Hey y'all.,,,,,1
405880248,Protect Our Defenders,ProtectRDfnders,Sat Nov 05 23:03:46 +0000 2011,4409,1632,8228,10383,95,,Working to end harassment & sexual violence in the US Military. Ensuring survivors & service members are provided a respectful workplace & access to justice.,"McLean, VA",http://t.co/xEeyzd722J,,,0
42389136,Reverend Al Sharpton,TheRevAl,Mon May 25 11:20:04 +0000 2009,569519,239,1099,27207,5435,,"Baptist Minister & Political, Civil Rights, and Social Justice Activist","New York, NY",https://t.co/oygOdFS074,,,1
36533337,Caitlin Moscatello,caitmosc,Thu Apr 30 00:20:37 +0000 2009,1248,608,707,1526,41,,Writer | NYMag/The Cut + more | REPRO founder https://t.co/tbrXh7V5l7 | Author of the forthcoming SEE JANE WIN pre-order here: https://t.co/e4WpcuGUy8,"New York, NY",https://t.co/4WtEyQMKpY,,,1
519072324,Carmen Yulín Cruz,CarmenYulinCruz,Fri Mar 09 01:43:23 +0000 2012,251888,549,14959,41801,1014,,Cuenta Oficial de Carmen Yulin Cruz,San Juan,https://t.co/jB4HFHdQ3M,,,1
16465385,The Nobel Prize,NobelPrize,Fri Sep 26 08:47:58 +0000 2008,451114,575,481,8262,4878,,The official Twitter feed of the Nobel Prize @NobelPrize #NobelPrize,"Stockholm, Sweden",https://t.co/5YEscsEeZ9,,,1
21258337,The View,TheView,Thu Feb 19 00:18:04 +0000 2009,762167,1528,12952,56698,3573,,"The place to be heard! Your comments/handle may be used by The View, i.e., being published online/on TV.

Buy our new 'View' mug and more: https://t.co/TYBbcL2Oaw",Weekdays 11e|10c|p on ABC,https://t.co/mToQBTQhqU,,,1
20517132,LCV,LCVoters,Tue Feb 10 14:46:01 +0000 2009,25910,2526,2845,30628,1072,,Our Earth Is Worth Fighting For,"Washington, D.C.",https://t.co/9mRotpvUpi,,,1
19608297,Human Rights Campaign,HRC,Tue Jan 27 18:55:38 +0000 2009,820697,157544,18474,47506,8909,,"HRC is the nation’s largest LGBTQ civil rights organization. We envision a world where LGBTQ people are ensured equality at home, at work & in every community.","Washington, DC",https://t.co/aqJODv04ld,,,1
153558139,National Partnership,NPWF,Tue Jun 08 21:43:46 +0000 2010,39631,7442,2786,36672,888,,National Partnership for Women & Families — Because women matter. Equality matters. We matter.,"Washington, D.C.",https://t.co/4iHT9m52xq,,,1
10069612,AFL-CIO,AFLCIO,Thu Nov 08 15:58:10 +0000 2007,119303,6840,10300,74396,2688,,The voice of working people in America's unions. Fighting for an inclusive economy that lifts wages and creates a better life for all. #1u,"Washington, DC",https://t.co/kwCGcnBSGN,,,1
14177942,Ms. Magazine,MsMagazine,Wed Mar 19 16:51:19 +0000 2008,149934,3118,4119,20086,3649,,"Reporting, rebelling and truth-telling from the feminist front lines for over 45 years.",,https://t.co/hXejFGcvXL,,,1
14676527,The_Citizen,The_Citizen,Tue May 06 17:57:10 +0000 2008,5056,633,79,85353,189,,"A daily newspaper in Auburn, New York. Cayuga County's number one news source. News tips: citizennews@lee.net.","Auburn, NY",https://t.co/hSkzx5fqv3,,,1
16935292,Democracy Now!,democracynow,Thu Oct 23 20:47:35 +0000 2008,685143,6369,4951,88081,17041,,"Independent, daily global news hour anchored by Amy Goodman & Juan González. Stream M-F 8AM ET https://t.co/qj9euWzTVH. Support independent media—Donate today!","New York, NY",http://t.co/XZYcOgrqqm,,,1
3063996411,End Citizens United,StopBigMoney,Thu Feb 26 19:24:18 +0000 2015,55237,13264,414,10293,658,,Democratic activists fighting for true campaign finance reform.,,http://t.co/F0BtdynV6F,,,1
2835886194,The Late Show,colbertlateshow,Tue Sep 30 17:13:22 +0000 2014,722514,1232,10531,22695,3428,,Official feed of The Late Show with @StephenAtHome on @CBS #LSSC,Weeknights | 11:35/10:35c,https://t.co/YTzFH21e5t,,,1
148752535,UJO of Williamsburg,UnitedJewish,Thu May 27 14:21:57 +0000 2010,2091,63,186,1660,23,,The United Jewish Organizations of Williamsburg and North Brooklyn is the premier social service provider in the area since 1966.,"Brooklyn, New York",http://t.co/x8vy821EeA,,,0
780454154959523840,DESUS & MERO on VICELAND,DesusandMeroVL,Mon Sep 26 17:09:05 +0000 2016,187736,115,2131,5425,762,,A show featuring @desusnice and @THEKIDMERO.,"Brooklyn, NY",https://t.co/tyvpl4kd2Z,,,1
44513878,Texas Tribune,TexasTribune,Thu Jun 04 01:37:46 +0000 2009,196701,59731,3094,75876,4904,,"A member-supported, nonpartisan newsroom informing & engaging Texans on state politics & policy. Tweets by @bobbycblanchard. Subscribe: https://t.co/7vzWxFKD0J","Austin, Texas",http://t.co/THOyB5XQbo,,,1
170011008,Byron W. Brown,MayorByronBrown,Fri Jul 23 18:40:23 +0000 2010,12509,301,1210,6692,211,,62nd Mayor of the City of Buffalo,"Buffalo, NY",https://t.co/7kbySImSVY,,,0
33563161,José E. Serrano,RepJoseSerrano,Mon Apr 20 16:06:56 +0000 2009,29114,1214,554,4853,1108,,"Congressman representing #TheBronx, New York. Chairman of @AppropsDems Commerce, Justice & Science Subcommittee. Dean of @HispanicCaucus",Bronx NY-Wash.DC,http://t.co/jXKviVB0sc,,,1
14194973,Robert Harding,RobertHarding,Sat Mar 22 02:07:15 +0000 2008,5219,5275,7795,123530,218,,Government and politics reporter at @The_Citizen. Syracuse Press Club’s 2018 Bill Carey Journalist of the Year. Sarah’s husband. Uncle. Buffalo sports fan.,Central New York,https://t.co/39dMuwZSWR,,,0
150078976,Chris Murphy,ChrisMurphyCT,Mon May 31 01:22:43 +0000 2010,775625,204,1175,19023,5198,,U.S. Senator from Connecticut.,,,,,1
915831762,Anthony Brindisi,ABrindisiNY,Wed Oct 31 00:54:36 +0000 2012,11409,1890,5273,4747,288,,Dad. Husband. Fighting for Upstate New York Families. Representative of #NY22.,"Utica, NY",https://t.co/IQvp0iIrLv,,,1
3233894260,Richard Giacovas,RichardGFox5,Mon May 04 17:19:06 +0000 2015,509,155,1113,1598,6,,Reporter for @fox5ny. 🎤 Storyteller. 📖 Old Soul. 👴🏻 Disney Fanatic. 🌟 Gym rat. 🏋️ Go Yankees. ⚾️                      My tweets are my own.,"New York, NY",https://t.co/4Zs8s3VWto,,,0
965266179836252161,Emma González,Emma4Change,Sun Feb 18 16:46:05 +0000 2018,1650595,255,4483,3089,3922,,Change ? in my country ? it's more likely than you think.,,https://t.co/R7UmJcihPj,,,1
965015705123930114,March For Our Lives,AMarch4OurLives,Sun Feb 18 00:10:48 +0000 2018,453212,403,3413,2824,1569,,Let’s create a safer America. Text CHANGE to 954-954 to join the movement.,,https://t.co/G7BxWrflHz,,,1
