User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
26637348,Tulsi Gabbard,TulsiGabbard,Thu Mar 26 00:14:32 +0000 2009,407887,3345,3222,8942,4331,,"Soldier. Veteran. Surfer. Congress. Candidate for President. (Use of TG's military rank, title, or photo do not imply Army or DoD endorsement.)",Hawai'i,https://t.co/cB1NbxNpqb,,,1
567651069,Nursing Clio,nursingclio,Mon Apr 30 21:28:01 +0000 2012,7536,986,3388,11250,154,,"A collaborative blog project that ties historical scholarship to present-day political, social, and cultural issues surrounding gender and medicine.",,https://t.co/sXNfeL0O7Z,,,0
63926780,Ron Wiley,ronwileykong,Sat Aug 08 07:09:24 +0000 2009,2351,819,934,13063,91,,KONG-FM93.5 morning radio guy Monday through Friday 5am to 10am and Saturdays 7am to 1pm.,Kaua`i   Hawai`i,https://t.co/tUTqz3z97P,,,0
3975816454,BKM Schools Maui,BkmSchools,Sat Oct 17 00:30:04 +0000 2015,129,48,15,174,7,,"Baldwin Kekaulike Maui Complex Area are the 20 Schools in Central, UpCountry and South Maui areas.  Our vision is Ma ka hana ka i`ke ~ Through doing one learns.","Wailuku, HI",https://t.co/hoK13ysBT7,,,0
20479321,khon2 News,KHONnews,Mon Feb 09 23:57:27 +0000 2009,113952,36359,1100,80512,1386,,This is the official Twitter account for khon2.,"Honolulu, Hawaii",https://t.co/W8CyGFVoY0,,,1
47285504,Mark Ruffalo,MarkRuffalo,Mon Jun 15 07:37:07 +0000 2009,5678493,1829,17398,41174,15246,,"I'm a husband, father, actor, director, and a climate change advocate with an eye on a better, brighter, cleaner, more hopeful future for all of us.",NYS,https://t.co/vVIXmBrJUh,,,1
573842268,RoseAnn DeMoro,RoseAnnDeMoro,Mon May 07 16:07:44 +0000 2012,48544,1629,34201,13323,745,,Social Change and Labor Activist for Life. Gone to the Revolution! #MedicareForAll #SinglePayer #S1804. https://t.co/TkW0uPLmQE,,,,,1
74829020,Machinists Union,MachinistsUnion,Wed Sep 16 20:28:33 +0000 2009,18699,1927,4293,15675,342,,"The International Association of Machinists & Aerospace Workers. 600,000 people making North America move. Stay in touch: https://t.co/gcgPb2FbNc",U.S. & Canada,,,,1
26044686,Ruth Hopkins,RuthH_Hopkins,Mon Mar 23 17:22:27 +0000 2009,77969,3610,32915,84445,1097,,"Dakota/Lakota Sioux writer, sensitivity reader, content creator, author & harbinger. Married. Bylines: @bustle @truthout @jezebel @TeenVogue @huffpost",Dakota makoche,https://t.co/fXkdGOQ2A8,,,0
841143344,Adam G. Simon,AdamSimonactor,Sun Sep 23 06:31:53 +0000 2012,3138,914,92298,8727,48,,"#SCREENWRITER #ACTOR #writer POINT BLANK, MAN DOWN, Co-Writer of THE RAID(2019)","Los Angeles, CA",https://t.co/7C6lkuHRLE,,,0
