User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
357606935,Elizabeth Warren,ewarren,Thu Aug 18 16:43:48 +0000 2011,2717159,336,8,4749,12682,,"US Senator, MA. Former teacher & law professor. Wife, mom (Amelia, Alex, Bailey, @CFPB), grandmother, & Okie. Official account: 2020 Presidential Campaign.",Massachusetts,https://t.co/BtKfTKRCOR,,,1
1339835893,Hillary Clinton,HillaryClinton,Tue Apr 09 18:04:35 +0000 2013,24728278,797,1118,10987,42131,,"2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x2, lawyer, advocate, fan of walks in the woods & standing up for our democracy.","New York, NY",https://t.co/99DVW9q1yt,,,1
15554922,CAP Action 🏳️‍🌈,CAPAction,Wed Jul 23 03:36:34 +0000 2008,63038,6163,685,49014,2290,,Hard-hitting news + analysis paired with action on the issues that matter most. Working alongside @AmProg & @ThinkProgress.,,http://t.co/PoAJevCiwb,,,1
3065900255,Hillary for NH,HillaryforNH,Mon Mar 02 03:51:50 +0000 2015,17265,1084,3158,6567,207,,Hillary for New Hampshire is the official account for our grassroots team to elect @HillaryClinton. Follow us for updates & to get involved! #603forHRC,New Hampshire,http://t.co/6Y0nDEmQTK,,,1
16742806,Russ Feingold,russfeingold,Tue Oct 14 18:06:35 +0000 2008,48075,4461,34,2925,2194,,"Wisconsin progressive, born and raised. Listening to and serving the great people of my home state for nearly 30 yrs.","Middleton, WI",http://t.co/HEbTPfYhdY,,,1
3088855679,Hillary for WI,HillaryforWI,Thu Mar 12 13:30:17 +0000 2015,5044,148,524,2422,47,,"Hillary for WI is the official account for our grassroots team to elect @HillaryClinton & @TimKaine. Thank you, Wisconsin.",Wisconsin,https://t.co/r61SMMTrdy,,,1
16017475,Nate Silver,NateSilver538,Wed Aug 27 20:56:45 +0000 2008,3203301,1179,664,24055,30422,,"Editor-in-Chief, @FiveThirtyEight. Author, The Signal and the Noise (https://t.co/EYTxvN6BLY). Sports/politics/food geek.",New York,http://t.co/wNpFg2xg4f,,,1
158414847,The Daily Show,TheDailyShow,Tue Jun 22 16:41:05 +0000 2010,7951122,531,1274,18985,37019,,Trevor Noah & The World’s Fakest News Team. Weeknights 11/10c @ComedyCentral. Tickets: https://t.co/otjFIiMtNU,,https://t.co/BAakBFaEGx,,,1
14377605,The Democrats,TheDemocrats,Sun Apr 13 20:23:13 +0000 2008,1605979,1433,126,27413,10681,,"The official Twitter account of the Democratic National Committee, led by Chair @TomPerez. Join our team to get the latest info on Democratic news and issues.","Washington, D.C.",https://t.co/CpNJYb5UrL,,,1
722793491059769344,Democratic Party,DNC,Wed Apr 20 14:26:12 +0000 2016,66500,4,48,561,583,,We’re working around the clock to elect Democrats across the country. Looking for the official voice of the DNC? Follow us here: @TheDemocrats,"Washington, DC",https://t.co/oHfymqBiSQ,,,1
14466538,Senate Democrats,dscc,Mon Apr 21 20:28:18 +0000 2008,109835,15941,170,12528,2301,,"Democratic Senatorial Campaign Committee. Work to elect Senate Dems for a fair economy, safe country & opportunity for all. Last line of defense against Trump.",,http://t.co/0Ct1ghIKra,,,1
2836421,MSNBC,MSNBC,Thu Mar 29 13:15:41 +0000 2007,2505550,636,672,169503,22550,,"The place for in-depth analysis, political commentary and informed perspectives.",,https://t.co/5TAF6ijWwt,,,1
398178146,StopHandgunViolence,stophandguns,Tue Oct 25 17:53:17 +0000 2011,8376,6511,3312,9748,164,,"We are committed to preventing gun violence through education, public awareness, effective law enforcement and common sense gun safety laws. #GrassrootsGVP","Boston, MA",https://t.co/VUUwqrdOzU,,,1
39547629,The King Center,TheKingCenter,Tue May 12 17:26:01 +0000 2009,82704,470,8205,15274,875,,"The official living memorial to #MLK, founded by #CorettaScottKing to educate on nonviolence and build the #BelovedCommunity. #Nonviolence365®️. #Atlanta","Atlanta, GA",https://t.co/Q4wXZvJP75,,,1
54617733,Be A King,BerniceKing,Tue Jul 07 17:30:48 +0000 2009,248146,393,16741,12963,1667,,"Bernice A. King is a connector, communicator, community builder, CEO of @TheKingCenter, and child of legendary global influencers.","Atlanta, GA",https://t.co/zq0VeoIg6H,,,1
1055907624,Rep. Joe Kennedy III,RepJoeKennedy,Wed Jan 02 19:33:36 +0000 2013,766247,696,12,5184,3208,,"Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",,https://t.co/rYNEysanC2,,,1
19637767,Rich Cordray,RichCordray,Wed Jan 28 05:22:46 +0000 2009,21138,304,47,2178,262,,"Father of twins, husband, and former Director of the @cfpb. Lifelong constitutional enthusiast. Former Candidate for Ohio Governor alongside @BettySutton","Grove City, OH",https://t.co/EMInyi6BFf,,,1
632301127,NWS Boston,NWSBoston,Tue Jul 10 20:40:48 +0000 2012,75022,117,286,40768,1960,,"Official Twitter Account for National Weather Service - Boston / Norton, MA. Details: https://t.co/mRyGMdRYT3","Norton, MA",https://t.co/GTS6dlFjaw,,,1
93673775,MEMA,MassEMA,Mon Nov 30 17:27:03 +0000 2009,98109,402,2353,7641,1778,,"Massachusetts Emergency Management Agency.             Mass Alerts smartphone app: http://t.co/Dkd0Me1h3z
               For emergencies call 9-1-1.",Massachusetts,http://t.co/OynbLW81SO,,,1
25704351,BoldProgressives.org,BoldProgressive,Sat Mar 21 18:00:46 +0000 2009,66935,5139,5583,20890,1985,,Progressive Change Campaign Committee (PCCC). Over 1 million members and growing. We support bold candidates and organize for progressive priorities. #p2,USA,https://t.co/gGvN9R7Hj5,,,1
77764733,Mayor Marty Walsh,marty_walsh,Sun Sep 27 15:55:11 +0000 2009,291293,2214,421,13395,1834,,"Mayor, City of Boston. Tweets by staff with tweets from the Mayor signed MJW.","Boston, Mass.",http://t.co/EWb07Q9QEU,,,1
119250381,Carolyn B. Maloney,CarolynBMaloney,Wed Mar 03 02:55:17 +0000 2010,16940,3888,467,2620,760,,"Former teacher, consumer champion, equal rights activist, progressive Congresswoman.❤️#NY12 

Donate: https://t.co/kzE4kSR3AT
Volunteer: https://t.co/9RJXYecdPG",,https://t.co/R1UWOB1YGw,,,1
