User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
21522338,Marianne Williamson,marwilliamson,Sat Feb 21 22:19:22 +0000 2009,2644380,356,1052,15995,7484,,"Activist, Humanitarian and Entrepreneur. 2020 candidate for President of the United States. #marianne2020",,https://t.co/SyOz9zxoq8,,,1
15952856,Ari Berman,AriBerman,Sat Aug 23 01:46:02 +0000 2008,125690,2555,14639,24641,2599,,Author: Give Us the Ballot: The Modern Struggle for Voting Rights in America https://t.co/q5tNcCdQjy Writer: @motherjones Speaking: annette@speakersforall.com,New York,,,,1
15450660,Greg Palast,Greg_Palast,Wed Jul 16 04:58:33 +0000 2008,64615,2152,21421,29932,1854,,"Author of Best Democracy Money Can Buy & Armed Madhouse. New film, The Best Democracy Money Can Buy: A Tale of Billionaires & Ballot Bandits, out NOW!","London, New York, Los Angeles",http://t.co/wzqpU8uFR0,,,0
18510860,Mother Jones,MotherJones,Wed Dec 31 17:21:13 +0000 2008,780493,221,1512,201237,20541,,"Investigative journalism, politics, chart-tastic, sometimes sarcastic. Voted Magazine of the Year, 2017, by the National Association of Magazine Editors.",,https://t.co/F0ddSvYEjy,,,1
259074538,CNN Opinion,CNNOpinion,Tue Mar 01 02:49:20 +0000 2011,83920,438,133,16018,980,,CNN Digital's forum for views from regular and guest writers. Their opinions are their own. Sign up for our newsletter: https://t.co/Z2FRVNmheb,,https://t.co/4L8STUIXSg,,,1
29442313,Bernie Sanders,SenSanders,Tue Apr 07 13:02:35 +0000 2009,8404668,2138,130,20318,27009,,U.S. Senator Bernie Sanders of Vermont is the longest-serving independent in congressional history.,Vermont/DC,http://t.co/8AS4FI1oge,,,1
20707070,Brennan Center,BrennanCenter,Thu Feb 12 19:17:46 +0000 2009,138285,3359,2211,45324,2219,,"We are a nonpartisan law and policy institute that  works to reform, revitalize and defend our country’s systems of democracy and  justice.",New York & Washington D.C.,http://t.co/gmwf45BzqN,,,1
2658962232,Boston Dave,Boston_Dave_,Sat Jul 19 08:21:19 +0000 2014,598,354,31125,14894,19,,"Boston sports fan, music lover, guitar player.

#MallerMilitia #GoGreen #CusRise","Boston, MA",,,,0
138203134,Alexandria Ocasio-Cortez,AOC,Wed Apr 28 22:38:40 +0000 2010,4535829,1509,14005,8311,12731,,"Congresswoman for NY-14 (the Bronx & Queens). In a modern, moral, and wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰.","Bronx + Queens, NYC",https://t.co/BYjH4stRnI,,,1
2940964728,Iowa Starting Line,IAStartingLine,Tue Dec 23 16:50:35 +0000 2014,19776,1991,5254,34273,504,,Your home for Iowa Caucus and Iowa politics news and analysis. Founded in 2015 by former IA Dem staffer @patrynard.,,https://t.co/DpEAYnDMWv,,,0
3101768599,sally paddles,salRides,Sat Mar 21 14:54:37 +0000 2015,267,5001,19304,8798,24,,Twitterville is fascinating & amazing,Where im supposed 2 b,,,,0
